param,value,index,comparison
elpd_diff,-0.7112060984853166,waic,prag vs. single
se_diff,1.040823437427867,waic,prag vs. single
elpd_diff,-0.6954301168189296,loo,prag vs. single
se_diff,1.0395496623616431,loo,prag vs. single
bf,2.1303794915151,bf,prag vs. single
mll1,-907.8012677538259,bf,prag vs. single
mll2,-909.931647245341,bf,prag vs. single
elpd_diff,-10.060532103154628,waic,prag vs. separate
se_diff,4.55268450705289,waic,prag vs. separate
elpd_diff,-10.061310126292035,loo,prag vs. separate
se_diff,4.55274746418038,loo,prag vs. separate
bf,7.95842987931303,bf,prag vs. separate
mll1,-907.8012677538259,bf,prag vs. separate
mll2,-915.7596976331389,bf,prag vs. separate
